Data as of 2024-07-02,,,,,,,,,,
Quarter,1Year,2Year,3Year,4Year,5Year,6Year,7Year,8Year,9Year,10Year
199012,2.28,,,,,,,,,
199103,2.23,,,,,,,,,
199106,1.87,,,,,,,,,
199109,1.64,2.02,1.8,1.68,1.62,1.58,1.56,1.55,1.55,1.54
199112,1.67,1.89,1.68,1.57,1.51,1.48,1.46,1.45,1.44,1.44
199203,1.5,1.79,1.6,1.49,1.44,1.4,1.39,1.38,1.37,1.37
199206,1.4,1.7,1.53,1.43,1.38,1.35,1.34,1.33,1.32,1.32
199209,1.18,1.61,1.46,1.38,1.33,1.31,1.3,1.29,1.28,1.28
199212,1,1.5,1.38,1.32,1.29,1.27,1.26,1.25,1.25,1.25
199303,0.84,1.39,1.31,1.26,1.24,1.23,1.22,1.21,1.21,1.21
199306,0.86,1.28,1.23,1.2,1.19,1.18,1.17,1.17,1.17,1.17
199309,0.59,1.18,1.14,1.13,1.12,1.11,1.11,1.11,1.11,1.1
199312,0.29,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
199403,0.19,0.97,1.01,1.03,1.04,1.04,1.05,1.05,1.05,1.05
199406,0.38,0.92,0.98,1.02,1.04,1.05,1.06,1.06,1.06,1.06
199409,0.19,0.85,0.95,1,1.03,1.04,1.05,1.06,1.06,1.06
199412,0.06,0.79,0.91,0.97,1,1.02,1.03,1.03,1.04,1.04
199503,-0.02,0.75,0.87,0.94,0.97,0.99,1,1.01,1.01,1.01
199506,-0.06,0.7,0.83,0.91,0.95,0.97,0.98,0.99,0.99,0.99
199509,-0.07,0.66,0.81,0.89,0.94,0.96,0.98,0.98,0.99,0.99
199512,0.06,0.67,0.83,0.92,0.97,0.99,1.01,1.02,1.02,1.02
199603,0.24,0.71,0.87,0.96,1.01,1.03,1.05,1.06,1.06,1.06
199606,0.48,0.78,0.92,0.99,1.04,1.06,1.07,1.08,1.08,1.08
199609,0.38,0.82,0.93,1,1.03,1.05,1.06,1.07,1.07,1.07
199612,0.49,0.84,0.93,0.97,1,1.02,1.02,1.03,1.03,1.03
199703,0.58,0.85,0.91,0.94,0.96,0.96,0.97,0.97,0.97,0.97
199706,0.54,0.82,0.86,0.88,0.89,0.9,0.9,0.91,0.91,0.91
199709,0.29,0.77,0.8,0.81,0.82,0.83,0.83,0.83,0.83,0.83
199712,0.14,0.7,0.73,0.75,0.76,0.77,0.77,0.77,0.77,0.77
199803,0.01,0.61,0.67,0.7,0.72,0.73,0.73,0.73,0.74,0.74
199806,-0.03,0.54,0.62,0.67,0.69,0.7,0.71,0.72,0.72,0.72
199809,-0.05,0.51,0.6,0.65,0.68,0.7,0.71,0.71,0.71,0.71
199812,-0.16,0.48,0.58,0.64,0.67,0.69,0.7,0.7,0.7,0.71
199903,-0.15,0.44,0.56,0.62,0.65,0.67,0.68,0.69,0.69,0.69
199906,0.03,0.44,0.56,0.62,0.65,0.67,0.68,0.69,0.69,0.69
199909,0.14,0.45,0.55,0.61,0.64,0.66,0.67,0.67,0.68,0.68
199912,0.1,0.44,0.53,0.58,0.61,0.63,0.63,0.64,0.64,0.64
200003,0.13,0.45,0.52,0.56,0.58,0.59,0.6,0.6,0.6,0.61
200006,0.18,0.43,0.49,0.53,0.54,0.55,0.56,0.56,0.56,0.57
200009,0.15,0.39,0.45,0.48,0.5,0.51,0.51,0.51,0.52,0.52
200012,0.01,0.34,0.4,0.43,0.45,0.46,0.46,0.47,0.47,0.47
200103,-0.37,0.27,0.34,0.38,0.4,0.41,0.42,0.42,0.42,0.42
200106,-0.36,0.2,0.29,0.35,0.38,0.39,0.4,0.41,0.41,0.41
200109,-0.55,0.13,0.26,0.33,0.37,0.39,0.4,0.4,0.41,0.41
200112,-0.73,0.06,0.23,0.32,0.37,0.4,0.42,0.43,0.43,0.43
200203,-0.58,0.05,0.24,0.35,0.41,0.44,0.46,0.47,0.47,0.48
200206,-0.34,0.07,0.27,0.38,0.44,0.47,0.49,0.5,0.5,0.51
200209,-0.49,0.07,0.27,0.38,0.44,0.48,0.49,0.5,0.51,0.51
200212,-0.54,0.09,0.28,0.39,0.44,0.48,0.49,0.5,0.51,0.51
200303,-0.31,0.12,0.3,0.41,0.46,0.49,0.51,0.52,0.52,0.52
200306,-0.46,0.1,0.3,0.41,0.47,0.5,0.52,0.53,0.54,0.54
200309,-0.2,0.15,0.34,0.45,0.5,0.54,0.55,0.56,0.57,0.57
200312,-0.27,0.18,0.37,0.47,0.53,0.56,0.58,0.59,0.59,0.6
200403,-0.23,0.2,0.4,0.5,0.56,0.6,0.61,0.62,0.63,0.63
200406,0.1,0.28,0.46,0.55,0.61,0.64,0.65,0.66,0.67,0.67
200409,0.03,0.31,0.48,0.57,0.62,0.65,0.67,0.67,0.68,0.68
200412,-0.03,0.34,0.5,0.58,0.63,0.65,0.67,0.68,0.68,0.68
200503,0.02,0.37,0.51,0.59,0.63,0.66,0.67,0.68,0.68,0.68
200506,0.04,0.38,0.52,0.6,0.64,0.66,0.68,0.68,0.69,0.69
200509,0.25,0.41,0.54,0.61,0.65,0.67,0.69,0.69,0.7,0.7
200512,0.22,0.43,0.55,0.62,0.66,0.68,0.69,0.69,0.7,0.7
200603,0.43,0.48,0.58,0.63,0.66,0.67,0.68,0.69,0.69,0.69
200606,0.5,0.51,0.59,0.63,0.65,0.66,0.67,0.67,0.67,0.67
200609,0.65,0.54,0.59,0.62,0.63,0.64,0.65,0.65,0.65,0.65
200612,0.44,0.54,0.58,0.6,0.61,0.62,0.62,0.62,0.62,0.62
200703,0.52,0.54,0.58,0.6,0.61,0.61,0.62,0.62,0.62,0.62
200706,0.56,0.56,0.59,0.61,0.62,0.63,0.63,0.63,0.63,0.63
200709,0.59,0.57,0.61,0.63,0.64,0.65,0.65,0.65,0.65,0.65
200712,0.96,0.64,0.65,0.66,0.67,0.67,0.67,0.67,0.67,0.67
200803,1.17,0.69,0.67,0.66,0.66,0.66,0.65,0.65,0.65,0.65
200806,1.42,0.72,0.66,0.63,0.61,0.6,0.59,0.59,0.59,0.59
200809,0.97,0.68,0.58,0.52,0.49,0.48,0.47,0.46,0.46,0.46
200812,0.07,0.52,0.44,0.39,0.36,0.35,0.34,0.33,0.33,0.33
200903,-0.36,0.34,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29
200906,-0.26,0.19,0.27,0.3,0.32,0.34,0.34,0.35,0.35,0.35
200909,-0.32,0.09,0.25,0.34,0.39,0.41,0.43,0.44,0.44,0.44
200912,-0.49,0.05,0.27,0.4,0.46,0.5,0.52,0.53,0.54,0.54
201003,-0.25,0.1,0.35,0.48,0.55,0.59,0.61,0.63,0.63,0.64
201006,-0.02,0.17,0.42,0.55,0.62,0.66,0.69,0.7,0.7,0.71
201009,-0.26,0.22,0.46,0.59,0.66,0.7,0.72,0.73,0.74,0.74
201012,0.01,0.29,0.51,0.64,0.71,0.75,0.77,0.78,0.78,0.79
201103,0.32,0.36,0.57,0.68,0.75,0.78,0.8,0.81,0.81,0.82
201106,0.23,0.38,0.58,0.69,0.75,0.79,0.8,0.81,0.82,0.82
201109,0.14,0.42,0.6,0.7,0.76,0.79,0.8,0.81,0.82,0.82
201112,0.14,0.47,0.64,0.73,0.78,0.8,0.82,0.83,0.83,0.83
201203,0.43,0.52,0.69,0.78,0.83,0.85,0.87,0.88,0.88,0.88
201206,0.23,0.56,0.73,0.83,0.88,0.91,0.92,0.93,0.94,0.94
201209,0.37,0.64,0.81,0.91,0.96,0.99,1.01,1.01,1.02,1.02
201212,0.4,0.71,0.9,1,1.06,1.09,1.11,1.12,1.12,1.13
201303,0.72,0.81,1.02,1.13,1.19,1.22,1.24,1.25,1.25,1.26
201306,0.96,0.94,1.15,1.26,1.32,1.35,1.37,1.38,1.38,1.39
201309,1.23,1.09,1.28,1.38,1.44,1.47,1.49,1.5,1.5,1.51
201312,1.18,1.22,1.4,1.5,1.55,1.58,1.6,1.61,1.61,1.62
201403,1.5,1.75,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
201406,1.5,1.65,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7
201409,1.5,1.65,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7
201412,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7
201503,1.4,1.55,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
201506,1.4,1.55,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
201509,1.2,1.35,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5
201512,1,1.15,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4
201603,0.8,0.95,1.1,1.15,1.2,1.2,1.2,1.2,1.2,1.2
201606,0.7,0.95,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201609,0.6,0.85,1,1.05,1,1,1,1,1,1
201612,0.7,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201703,0.7,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201706,0.8,1,1.1,1.15,1.1,1.1,1.1,1.1,1.1,1.1
201709,0.7,0.95,1.1,1.15,1.1,1.1,1.1,1.1,1.1,1.1
201712,0.8,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201803,0.8,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201806,0.9,1.05,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201809,0.8,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201812,0.9,1.05,1.1,1.15,1.2,1.2,1.2,1.2,1.2,1.2
201903,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201906,0.9,1.05,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
201909,0.9,0.95,1,1,1.1,1.1,1.1,1.1,1.1,1.1
201912,0.8,0.9,1,1.05,1.1,1.1,1.1,1.1,1.1,1.1
202003,0.5,0.65,0.8,0.9,1,1,1,1,1,1
202006,0.3,0.55,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9
202009,0.3,0.45,0.6,0.75,0.8,0.8,0.8,0.8,0.8,0.8
202012,0.3,0.5,0.7,0.85,0.9,0.9,0.9,0.9,0.9,0.9
202103,0.4,0.65,0.8,0.85,1,1,1,1,1,1
202106,0.6,0.85,0.9,1.05,1.1,1.1,1.1,1.1,1.1,1.1
202109,0.7,0.95,1,1.05,1.1,1.1,1.1,1.1,1.1,1.1
202112,1.1,1.25,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3
202203,1.8,1.75,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
202206,2.4,2.2,2,2,1.9,1.9,1.9,1.9,1.9,1.9
202209,2.6,2.35,2.1,2.05,2,2,2,2,2,2
202212,2.7,2.45,2.2,2.1,2,2,2,2,2,2
202303,2.8,2.45,2.3,2.15,2.1,2.1,2.1,2.1,2.1,2.1
202306,2.6,2.3,2.2,2.15,2.1,2.1,2.1,2.1,2.1,2.1
202309,2.5,2.25,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
202312,2.4,2.25,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
202403,2.4,2.25,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
202406,2.4,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2
