マクロ経済不確実性指数（日本）,
・本データを著作物にご使用される際は下記論文を引用してください。,
　篠原武史・奥田達志・中島上智 (2021) 「マクロ経済に関する不確実性指標の特性について」『経済研究』第72巻、第3号、246-267頁,
・上記論文の著者は日本銀行の職員を含みますが、本データは日本銀行と一切、関係がなく、中島が研究活動の一環で推計、公表しているものです。,
・数か月ごとに本データをアップデートしますが、推計上、過去の値についても更新されます。,
【2022年5月25日時点推計値】,
年月,指数
197906,0.78658
197907,0.78859
197908,0.79522
197909,0.78672
197910,0.78436
197911,0.80085
197912,0.8344
198001,0.88566
198002,0.89687
198003,0.89041
198004,0.87441
198005,0.83984
198006,0.8106
198007,0.79491
198008,0.79254
198009,0.78258
198010,0.77033
198011,0.76873
198012,0.76757
198101,0.76325
198102,0.76509
198103,0.77368
198104,0.78404
198105,0.81321
198106,0.79289
198107,0.77723
198108,0.74039
198109,0.72325
198110,0.70775
198111,0.70965
198112,0.71328
198201,0.71129
198202,0.6874
198203,0.68498
198204,0.69072
198205,0.71174
198206,0.71838
198207,0.70075
198208,0.70244
198209,0.7027
198210,0.71451
198211,0.71846
198212,0.73205
198301,0.72874
198302,0.71788
198303,0.70084
198304,0.68723
198305,0.69029
198306,0.69849
198307,0.69697
198308,0.71179
198309,0.70663
198310,0.7047
198311,0.7033
198312,0.70758
198401,0.71806
198402,0.73157
198403,0.71419
198404,0.70953
198405,0.72241
198406,0.71756
198407,0.70173
198408,0.70519
198409,0.70418
198410,0.69392
198411,0.66953
198412,0.66002
198501,0.65678
198502,0.65803
198503,0.6654
198504,0.67005
198505,0.67586
198506,0.67094
198507,0.67183
198508,0.67069
198509,0.68084
198510,0.70813
198511,0.72147
198512,0.74271
198601,0.77664
198602,0.79835
198603,0.81816
198604,0.82751
198605,0.81549
198606,0.80774
198607,0.80048
198608,0.8089
198609,0.80716
198610,0.80674
198611,0.80798
198612,0.78664
198701,0.76755
198702,0.75683
198703,0.74998
198704,0.74974
198705,0.75927
198706,0.75485
198707,0.7454
198708,0.72783
198709,0.71567
198710,0.71278
198711,0.72296
198712,0.74185
198801,0.77507
198802,0.7939
198803,0.7858
198804,0.76845
198805,0.73998
198806,0.73083
198807,0.71221
198808,0.70606
198809,0.70819
198810,0.7113
198811,0.71767
198812,0.72144
198901,0.72865
198902,0.75586
198903,0.82908
198904,0.83466
198905,0.79367
198906,0.75291
198907,0.73686
198908,0.71909
198909,0.7132
198910,0.72369
198911,0.72943
198912,0.74757
199001,0.74988
199002,0.73314
199003,0.72487
199004,0.71972
199005,0.72144
199006,0.71791
199007,0.71385
199008,0.72749
199009,0.73895
199010,0.73805
199011,0.71895
199012,0.71508
199101,0.73192
199102,0.73467
199103,0.73042
199104,0.73085
199105,0.73285
199106,0.71499
199107,0.70231
199108,0.69452
199109,0.69235
199110,0.70061
199111,0.70313
199112,0.71381
199201,0.72716
199202,0.73323
199203,0.72658
199204,0.71267
199205,0.7024
199206,0.69619
199207,0.70439
199208,0.73364
199209,0.75002
199210,0.73658
199211,0.72798
199212,0.72443
199301,0.74281
199302,0.73889
199303,0.73637
199304,0.72201
199305,0.70649
199306,0.70855
199307,0.70122
199308,0.68878
199309,0.68246
199310,0.68667
199311,0.6913
199312,0.68804
199401,0.70866
199402,0.70751
199403,0.70834
199404,0.70188
199405,0.70454
199406,0.70919
199407,0.7123
199408,0.70204
199409,0.69488
199410,0.68747
199411,0.69416
199412,0.70666
199501,0.75404
199502,0.76172
199503,0.74076
199504,0.71603
199505,0.69635
199506,0.68334
199507,0.69264
199508,0.69606
199509,0.69187
199510,0.69074
199511,0.67339
199512,0.67045
199601,0.69006
199602,0.66837
199603,0.64175
199604,0.62725
199605,0.60665
199606,0.60626
199607,0.61143
199608,0.60931
199609,0.61949
199610,0.62386
199611,0.6443
199612,0.669
199701,0.71096
199702,0.7262
199703,0.7783
199704,0.81866
199705,0.75285
199706,0.71063
199707,0.67792
199708,0.66508
199709,0.66526
199710,0.66121
199711,0.67611
199712,0.68349
199801,0.69918
199802,0.68816
199803,0.67853
199804,0.66998
199805,0.66357
199806,0.65109
199807,0.64707
199808,0.66104
199809,0.67399
199810,0.6866
199811,0.69852
199812,0.70659
199901,0.73649
199902,0.74797
199903,0.71747
199904,0.69952
199905,0.68606
199906,0.65936
199907,0.6451
199908,0.63278
199909,0.6382
199910,0.64571
199911,0.64731
199912,0.64518
200001,0.66643
200002,0.65816
200003,0.65058
200004,0.6367
200005,0.62151
200006,0.62095
200007,0.61517
200008,0.61995
200009,0.63258
200010,0.63217
200011,0.6366
200012,0.66988
200101,0.71672
200102,0.68988
200103,0.68396
200104,0.67863
200105,0.6601
200106,0.6449
200107,0.64443
200108,0.64112
200109,0.64422
200110,0.64313
200111,0.63681
200112,0.63749
200201,0.64704
200202,0.64812
200203,0.64655
200204,0.64623
200205,0.64587
200206,0.63822
200207,0.63946
200208,0.63209
200209,0.6243
200210,0.63199
200211,0.64181
200212,0.64195
200301,0.65004
200302,0.65659
200303,0.6603
200304,0.67072
200305,0.66894
200306,0.68626
200307,0.69669
200308,0.68905
200309,0.68481
200310,0.67315
200311,0.67101
200312,0.67049
200401,0.68656
200402,0.67619
200403,0.66617
200404,0.65506
200405,0.65772
200406,0.6533
200407,0.6588
200408,0.65633
200409,0.65483
200410,0.66027
200411,0.66518
200412,0.66288
200501,0.65089
200502,0.64211
200503,0.63804
200504,0.64418
200505,0.64286
200506,0.62504
200507,0.62294
200508,0.62401
200509,0.62626
200510,0.629
200511,0.62599
200512,0.61662
200601,0.61932
200602,0.63128
200603,0.63087
200604,0.64095
200605,0.63591
200606,0.62401
200607,0.61549
200608,0.60433
200609,0.60045
200610,0.6083
200611,0.61154
200612,0.62209
200701,0.65107
200702,0.65096
200703,0.66459
200704,0.67233
200705,0.69051
200706,0.73059
200707,0.78878
200708,0.81137
200709,0.78815
200710,0.76868
200711,0.74753
200712,0.73073
200801,0.72545
200802,0.72632
200803,0.74681
200804,0.75895
200805,0.75696
200806,0.77826
200807,0.78448
200808,0.80185
200809,0.81311
200810,0.84913
200811,0.87796
200812,0.88176
200901,0.90924
200902,0.90812
200903,0.86126
200904,0.81822
200905,0.7832
200906,0.74847
200907,0.72763
200908,0.72923
200909,0.72978
200910,0.72125
200911,0.69777
200912,0.69127
201001,0.70951
201002,0.72066
201003,0.72253
201004,0.73168
201005,0.7186
201006,0.70072
201007,0.70195
201008,0.70749
201009,0.73168
201010,0.75852
201011,0.74745
201012,0.76454
201101,0.78799
201102,0.85472
201103,1.00184
201104,0.93073
201105,0.89562
201106,0.86346
201107,0.81196
201108,0.78665
201109,0.76983
201110,0.74113
201111,0.73395
201112,0.72191
201201,0.71571
201202,0.71878
201203,0.71133
201204,0.70705
201205,0.69237
201206,0.66248
201207,0.65638
201208,0.66216
201209,0.67242
201210,0.66536
201211,0.65333
201212,0.65304
201301,0.65768
201302,0.6548
201303,0.65507
201304,0.6488
201305,0.64716
201306,0.64796
201307,0.6358
201308,0.62232
201309,0.61861
201310,0.61515
201311,0.62454
201312,0.643
201401,0.68117
201402,0.72485
201403,0.79139
201404,0.83194
201405,0.74972
201406,0.71865
201407,0.68736
201408,0.66614
201409,0.66255
201410,0.6751
201411,0.68607
201412,0.69957
201501,0.74728
201502,0.76159
201503,0.73881
201504,0.69465
201505,0.66917
201506,0.65223
201507,0.63924
201508,0.63824
201509,0.65046
201510,0.64277
201511,0.64483
201512,0.6439
201601,0.66095
201602,0.64803
201603,0.63761
201604,0.63257
201605,0.62571
201606,0.62019
201607,0.62106
201608,0.62338
201609,0.60973
201610,0.61118
201611,0.61665
201612,0.63415
201701,0.65229
201702,0.65084
201703,0.64049
201704,0.62708
201705,0.6171
201706,0.60499
201707,0.59696
201708,0.61155
201709,0.61996
201710,0.63222
201711,0.63184
201712,0.64703
201801,0.66321
201802,0.64919
201803,0.63461
201804,0.62541
201805,0.60975
201806,0.60636
201807,0.61194
201808,0.62697
201809,0.64044
201810,0.64323
201811,0.63524
201812,0.65099
201901,0.65292
201902,0.64894
201903,0.62902
201904,0.62726
201905,0.64491
201906,0.6555
201907,0.67256
201908,0.69155
201909,0.73224
201910,0.76092
201911,0.73611
201912,0.74111
202001,0.78619
202002,0.84116
202003,0.92798
202004,1.02424
202005,0.93617
202006,0.90822
202007,0.84865
202008,0.79331
202009,0.77041
202010,0.75685
202011,0.7387
202012,0.73235
202101,0.75181
202102,0.74313
202103,0.74685
202104,0.77151
202105,0.78254
202106,0.7693
202107,0.78356
202108,0.83212
202109,0.86804
202110,0.86695
202111,0.83447
202112,0.80841
202201,0.81237
202202,0.80633
202203,0.78293
